probe,EntrezGene.ID,coefficient
ADH1B,125,-1
COL10A1,1300,1
GJB2,2706,1
GPX3,2878,-1
GRP,2922,1
HSD17B6,8630,1
MATN3,4148,1
MMP11,4320,1
MMP13,4322,1
PCOLCE2,26577,-1
POSTN,10631,1
PPAPDC1A,196051,1
