probe,EntrezGene.ID,coefficient
THRA,7067,1
CDC6,990,1
RARA,5914,1
TOP2A,7153,1
PSMD3,5709,1
CSF3,1440,1
MED24,9862,1
NR1D1,9572,1
CASC3,22794,1
RAPGEFL1,51195,1
WIPF2,147179,1
GJD3,125111,1
IGFBP4,3487,1
TNS4,84951,1
CCR7,1236,1
SMARCE1,6605,1
